x_m,y_m,w_tr_right_m,w_tr_left_m,s_m,heading_rad,curvature_radpm
384.75961,206.936921,6.848,6.744,565.0081186579365,1.7898090451491324,0.00017983055328943176
383.668542,211.828381,6.839,6.74,570.0197860762938,1.7907601564066522,0.0001997367144649487
382.571989,216.721369,6.831,6.737,575.0341414735461,1.791811738476045,0.0002197044417606806
381.469571,221.61525,6.817,6.73,580.0506538764895,1.79296390595456,0.00023966234933003142
380.36091,226.509387,6.73,6.679,585.0687915975659,1.794217031225215,0.0002597968165711549
379.245625,231.403144,6.643,6.629,590.0880264203525,1.7955714081119365,0.0002799027751679609
378.123338,236.295885,6.556,6.578,595.1078314567509,1.7968940964648499,0.00024716951847866765
376.995222,241.186189,6.469,6.527,600.1265682422251,1.7974452562715895,-2.7624186003555554e-05
375.869534,246.069056,6.382,6.477,605.1375126255756,1.7964407256732549,-0.00037445984515552613
374.756551,250.938468,6.295,6.426,610.1325005518906,1.7936899372720345,-0.0007292775210973924
373.666549,255.788406,6.208,6.375,615.1034162586642,1.7893943667637773,-0.001001683744661908
372.607246,260.61358,6.144,6.319,620.043499959988,1.787967624445581,0.0004316441583337201
371.540959,265.421667,6.359,6.201,624.9684028591261,1.7972730034525903,0.0033320460794708656
370.390994,270.23148,6.483,6.07,629.9137765149982,1.8207902701176593,0.006117766828959405
369.07939,275.062196,6.223,5.886,634.9193855813828,1.8579111999270466,0.008613484705328968
367.528135,279.9271,5.998,5.881,640.0256251962306,1.9107171347596774,0.01211072793026078
365.658392,284.735657,5.842,6.213,645.1849041485939,1.9861676323559303,0.017440393048294613
363.390615,289.308547,6.195,6.207,650.2892293218003,2.0921650259296287,0.024479157782870402
360.645235,293.463592,6.651,6.127,655.2693407960974,2.235934991330992,0.03345362241760615
357.342854,297.018871,6.727,6.221,660.1217349512544,2.4122587325721354,0.03848750087834717
353.463199,299.882312,6.789,6.295,664.9436658175679,2.5801695896978276,0.030308694407271
349.131655,302.183171,6.834,6.343,669.8483804434984,2.7034095237847957,0.019989686260477
344.495634,304.08418,6.751,6.372,674.8590217128892,2.7801301569162487,0.010909477422369121
339.702546,305.748067,6.651,6.395,679.9327001146519,2.816210483715139,0.0034523462098733746
334.888213,307.325468,6.589,6.41,684.9988619902427,2.8275908396574034,0.0010412926276140387
330.093961,308.868413,6.526,6.426,690.0352824961705,2.832650380119541,0.0009663197624782652
325.315045,310.380856,6.463,6.441,695.0478189761678,2.8373339395170882,0.0009010225146298852
320.546409,311.866427,6.401,6.456,700.0424971936847,2.84166038290061,0.0008301469730199815
315.782999,313.328756,6.338,6.471,705.0253157667756,2.8456107643904365,0.0007543678862078542
311.019759,314.771475,6.275,6.487,710.0022519136999,2.849169028716149,0.0006746316888611831
306.251634,316.198213,6.213,6.502,714.979258778902,2.8523217419195204,0.0005915750055930182
301.473569,317.612602,6.15,6.517,719.962270055986,2.855058426533425,0.0005063323077150825
296.680509,319.018271,6.087,6.532,724.9572004359975,2.8567289361825043,0.0001632528604303662
291.871473,320.424361,6.025,6.548,729.9675812935168,2.8539152702748902,-0.0012836244726972122
287.063147,321.863905,5.962,6.563,734.9867730462008,2.8431034556782633,-0.003026633203607167
282.277001,323.376404,5.899,6.578,740.0062199040048,2.823507235285967,-0.004787497143589854
277.534508,325.001361,5.837,6.594,745.0193751087534,2.795087042076945,-0.006557105023784612
272.857058,326.777696,5.774,6.609,750.0227644134873,2.7587280777338954,-0.007981297754251264
268.264717,328.734659,5.766,6.492,755.0146878948369,2.7160323338490886,-0.009125888217428818
263.776461,330.893553,5.769,6.345,759.9951763472653,2.6676933145276727,-0.010278494587365756
259.411231,333.275445,5.773,6.197,764.9679665552435,2.6137137206691383,-0.011412234552804722
255.187901,335.901296,5.812,6.125,769.9410551089595,2.5578028177004097,-0.011042883915573494
251.104955,338.762559,5.915,6.195,774.9267620792983,2.5122773420870255,-0.007217950146139617
247.112531,341.780703,6.018,6.265,779.931623975546,2.486831772955319,-0.00296879616836187
243.153755,344.867045,6.121,6.335,784.9513265921499,2.4824321025143687,0.0012056869666476747
239.171754,347.932905,6.224,6.405,789.9768444265229,2.4970320503574115,0.004607401222476485
235.121142,350.904813,6.228,6.45,795.0007567202446,2.5138065641373446,0.00207257206348623
231.047097,353.829207,6.192,6.486,800.0157266034304,2.510721557989621,-0.003319352976548336
227.037714,356.809351,6.156,6.521,805.0113657318528,2.4804040732616865,-0.008845198225351441
223.181345,359.94885,6.121,6.556,809.9840949457918,2.4243735005623037,-0.013669958671889847
219.553383,363.336884,6.159,6.571,814.948053311713,2.3599454489801133,-0.012223355209901051
216.127749,366.949728,6.212,6.582,819.9267690166205,2.31006089783619,-0.007813944935578644
212.830576,370.71047,6.266,6.593,824.9282218238048,2.2818826591409844,-0.0034764808256938996
209.587713,374.541891,6.329,6.578,829.9477783097915,2.2749359978411103,0.0006950558787516385
206.32638,378.367963,6.411,6.506,834.9752150210861,2.281112307742914,0.0017636695987244522
203.032379,382.163679,6.493,6.434,840.0009391023164,2.2822025389629044,-0.0013332770230176073
199.770878,385.973159,6.574,6.363,845.0158694750535,2.266932714329178,-0.004770665434190154
196.612692,389.84544,6.325,6.316,850.0127383900399,2.2343495582657895,-0.008284551768087876
193.628634,393.829558,5.93,6.281,854.990468634367,2.186084360907486,-0.011096089451939042
190.874354,397.963976,5.88,6.327,859.958312282986,2.1317873857490204,-0.010729283530678695
188.3422,402.243012,5.914,6.394,864.9304298368066,2.0815014567092933,-0.009477509222675191
186.008004,406.649469,5.948,6.461,869.9169450788635,2.0374011529700744,-0.008202909731470047
183.847599,411.166147,5.986,6.432,874.9237134896958,1.9992295760723988,-0.007047027124749477
181.839628,415.776112,6.027,6.367,879.9520059272999,1.962449133230672,-0.007600277960663868
180.00665,420.466529,6.068,6.301,884.9878593785405,1.9192543992756064,-0.00958884199180133
178.405995,425.227811,6.11,6.318,890.0109961189199,1.8656503456995015,-0.011787465891487126
177.095945,430.050461,6.155,6.434,895.008413854611,1.8013655503489705,-0.013952531611381163
176.129617,434.925095,6.2,6.55,899.9779054219185,1.7342913081088587,-0.012978822563345527
175.480314,439.844093,6.34,6.848,904.9395720481454,1.6788226398888675,-0.009331354908265609
175.058566,444.801221,6.522,7.207,909.9146086695068,1.6417694668842533,-0.005563546443616393
174.773214,449.790283,6.579,7.274,914.9118244346853,1.6232496022876586,-0.0018643444425508748
174.53335,454.805062,6.635,7.342,919.9323366752178,1.6172557723428291,-0.0005305348907986072
174.306222,459.834655,6.691,7.409,924.9670554234731,1.6048555490430254,-0.004405954535891723
174.190838,464.857539,6.747,7.476,929.9912645298809,1.5709828269750414,-0.00912172771573058
174.304354,469.850731,6.803,7.543,934.9857467083575,1.5131688447669567,-0.01406338734054349
174.763927,474.791245,6.9,7.581,939.947589705322,1.4329062906045875,-0.018225208543436875
175.665576,479.659879,7.131,7.522,944.8990105059768,1.3487890079143905,-0.015632486673764497
176.947707,484.465629,7.328,7.476,949.8728513723155,1.2850199652898278,-0.010013735986488142
178.477525,489.23023,7.393,7.479,954.8770262096214,1.2486449994129265,-0.004567337556207589
180.121892,493.975478,7.457,7.482,959.8991095833013,1.2388649768991116,0.0006567930809886446
181.749486,498.722863,7.522,7.486,964.9177475028031,1.2481484472291136,0.00305043175783425
